"Buergel Credit Check", "Bürgel Bonitätsprüfung"
"Buergel Settings","Bürgel-Einstellungen"
"ConCheck/RiskCheck Settings", "ConCheck/RiskCheck Einstellungen"
"Buergel Risk-Management", "Bürgel-Risikomanagement"

"Lock paymentmethod when", "Sperre Zahlungsart WENN"
"Or", "Oder"
"Payment method", "Zahlarten"
"Rule name", "Regel-Name"
"Rule value", "Regel-Wert"
"Buergel score >=", "Bürgel Score >="
"Buergel score <=", "Bürgel Score <="
"Buergel score =", "Bürgel Score ="
"Goods value >=", "Warenwert >="
"Goods value <=", "Warenwert <="
"Goods value =", "Warenwert ="
"Customer group in", "Kundengruppe in"
"Address origin in", "Treffertyp in"
"Product group", "Bürgel-Produktgruppe"
"Country", "Land"
"Add", "Hinzufügen"
"Delete", "Löschen"
"Personal Number", "Personennummer"
"Last Buergel Score", "Letzte Bürgel Score"
"Last Buergel Notice", "Letzte Bürgel Bemerkung"
"Active", "Aktiv"
"Inactive ", "Inaktiv"
"The payment method is not available for you.", "Die zahlungsart steht ihnen nicht zur verfügung."

"mode", "Modus"
"mode_description", "Nutzen Sie den Test-Modus, um die Schnittstelle zu testen. Wenn Sie in den Live-Modus wechseln, werden Abfragen bei Bürgel zahlungspflichtig durchgeführt."
"Live-Mode", "Live-Modus"
"Test-Mode", "Test-Modus"
"user", "Bürgel Web-API Benutzer"
"user_description", "Ihr Nutzername für die Web-API von Bürgel"
"password", "Passwort"
"password_description", "Ihr Passwort für die Web-API von Bürgel"
"type", "Bonitätsprüfung im Checkout"
"type_description", "Bei der aktiven Steuerung der Zahlarten wird die Bonitätsprüfung im Checkout durchgeführt, bevor dem Kunden Zahlarten angezeigt werden. Wenn Sie die Prüfung der ausgewählten Zahlart nutzen, werden zunächst alle im Shop verfügbaren Zahlarten angezeigt, eine Bonitätsprüfung wird erst nach dem Klick auf den Kaufen-Button durchgeführt. Im Negativfall wird der Kunde zur Zahlartenauswahl zurück geleitet."
"Active check", "Aktive Steuerung der Zahlarten"
"Passive check", "Prüfung der ausgewählten Zahlart"
"concheck_timeout_de", "ConCheck DE Timeout in Sekunden"
"concheck_timeout_de_description", "Definieren Sie einen Timeout für die Anfrage an die Bürgel API."
"concheck_timeout_int", "ConCheck International Timeout in Sekunden"
"concheck_timeout_int_description", "Definieren Sie einen Timeout für die Anfrage an die Bürgel API."
"riskcheck_timeout", "RiskCheck Timeout in Sekunden"
"riskcheck_timeout_description", "Definieren Sie einen Timeout für die Anfrage an die Bürgel API."
"recheck", "Neuprüfung von Bestandskunden nach [Tagen]"
"recheck_description", "Die Anzahl an Tagen, nach denen die Bonität eines Bestandskunden erneut geprüft wird. Solange wird der zuvor ermittelte Wert für die Bonitätsentscheidungen verwendet."
"sessioncache", "Caching innerhalb der Session"
"sessioncache_description", "Wenn Sie diese Option aktivieren, werden die ermittelten Score-Werte für Bonitätsentscheidungen verwendet, solange die Kunden-Session im Shop aktiv ist und die Daten des Rechnungsempfängers sich nicht ändern."
"product", "Produkt"
"product_description", "Wählen Sie das Produkt, über das die Score-Werte bei Bürgel ermittelt werden sollen."
"Buergel ConCheck for consumers", "Bürgel ConCheck für Konsumenten" 
"Buergel ConCheck for consumers and Buergel RiskCheck for company", "Bürgel ConCheck für Konsumenten und Bürgel RiskCheck für Firmen" 
"Buergel RiskCheck for consumers and company", "Bürgel RiskCheck für Konsumenten und Firmen"
"product_concheck", "ConCheck Produkt"
"product_concheck_description", "Das Unterprodukt, über das im ConCheck die Bonität geprüft werden soll."
"product_riskcheck", "RiskCheck Produkt"
"product_riskcheck_description", "Das Unterprodukt, über das im RiskCheck die Bonität geprüft werden soll."

"concheck_country_de", "ConCheck Deutschland"
"concheck_country_de_description", "Wählen Sie, ob ConCheck in Deutschland aktiviert sein soll."
"concheck_country_at", "ConCheck Österreich"
"concheck_country_at_description", "Wählen Sie, ob ConCheck Deltavista in Österreich aktiviert sein soll."
"concheck_country_ch", "ConCheck Schweiz"
"concheck_country_ch_description", "Wählen Sie, ob ConCheck in der Schweiz aktiviert sein soll."
"concheck_country_be", "ConCheck Belgien"
"concheck_country_be_description", "Wählen Sie, ob ConCheck in Belgien aktiviert sein soll."
"concheck_country_sw", "ConCheck Schweden"
"concheck_country_sw_description", "Wählen Sie, ob ConCheck in Schweden aktiviert sein soll."
"concheck_country_fi", "ConCheck Finnland"
"concheck_country_fi_description", "Wählen Sie, ob ConCheck in Finnland aktiviert sein soll."
"concheck_country_nw", "ConCheck Norwegen"
"concheck_country_nw_description", "Wählen Sie, ob ConCheck in Norwegen aktiviert sein soll."
"concheck_personalnumber", "Personennummer abfragen"
"concheck_personalnumber_description", "Für eine Prüfung in Schweden, Finnland und Norwegen ist die Personennummer notwendig."

"Inactive","Inaktiv"
"Exclude from Buergel Checks","Bürgel Ausschluss"
"Customer Group Excludes","Kundengruppen von der Prüfung ausschließen"
"The payment method is not available for you.","Wir können Ihnen diese Zahlart leider nicht anbieten."